Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotCmp%,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,ShrCmp%,MedCmp,MedAtt,CmpMed%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,SCA,SCA90,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,Tkl%,ChalLost,Blocks,BlSh,Pass,Tkl+Int,Clr,Err,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKattA,PKA,PKsv,PKm,PKSave%,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,xg/90,LPCmp,LPAtt,GKLCmp%,GKPAtt,Thr,Launch%,PAvgLen,GKAtt,PLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Value
Aaron Ramsey,MF,27,14.8,807,775,26,10,5,9,15,13,1,0,0,0,652,6,27,28,"1,331",14,4,14,3,1.93,32,13,19,1.16,20.7,20.1,0.6,4,6,10,4,0,0,0,0,3.4,3.4,2,47,88,133,33,13,17.2,0,0.6,9,113,488,379,72,972,23,12,52.2,11,47.8,574,3368,1688,42,6,35,27,768,652,807,80.8,9568,2275,368,419,87.8,192,226,85,43,59,72.9,2.3,4,25,51,16,4,0,21,20,4,9,18,0,0,0,89,13,20,39.4,48,3.25,41,0,3,3,0,1,10,0.68,9,0,1,0,0,0,34,11,15,8,7,25,28,18,7,1,6,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Laurent Koscielny,DF,32,14.8,895,860,32,31,0,11,0,1,0,0,0,0,820,3,6,17,"1,331",13,12,4,2,1.53,27,23,4,-0.51,25,22,3,3,0,3,3,0,0,1,0,1.4,1.4,0.2,8,37,3,5,4,6.9,0,1.6,130,548,494,23,12,1056,1,1,100,0,0,569,3249,1690,2,0,4,3,698,820,895,91.6,17010,5462,221,236,93.6,486,509,95.5,105,128,82,0.2,-0.2,2,28,0,0,0,9,14,0,30,11,0,0,0,80,25,28,47.2,9,0.61,8,1,0,0,0,0,0,0,0,0,0,0,0,0,19,9,9,1,10,16,62.5,6,20,15,5,49,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ainsley Maitland-Niles,DF,20,11,575,464,109,5,0,4,18,104,0,0,0,0,453,2,16,16,987,11,8,5,7,1.38,17,17,0,-0.81,15.6,18.7,-3.1,1,1,2,1,0,0,2,1,0.9,0.9,0.9,32,60,66,5,3,15.4,0,0.1,29,183,316,232,23,728,33,19,57.6,14,42.4,338,1948,1030,21,8,25,17,410,453,575,78.8,7039,2349,249,282,88.3,163,194,84,30,55,54.5,1,0.1,6,27,14,1,1,8,12,1,19,22,0,0,0,59,6,12,33.3,19,1.73,16,1,1,1,0,0,2,0.18,2,0,0,0,0,0,33,19,12,2,14,28,50,14,22,4,18,52,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Rob Holding,DF,22,9,618,603,15,12,0,12,1,3,0,0,0,0,540,0,2,10,807,9,8,1,4,2.2,23,10,13,1.14,13.5,13,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,4,29,2,2,0,20.1,0,-0.1,73,365,327,20,4,710,5,3,60,2,40,453,2140,1188,5,0,4,2,512,540,618,87.4,9956,3547,220,244,90.2,256,281,91.1,53,77,68.8,0.1,-0.2,2,18,2,0,0,6,2,0,12,7,0,1,0,54,21,9,70,3,0.33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,0,2,8,25,6,9,7,2,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Mohamed Elneny,MF,26,4.2,286,276,8,5,2,1,3,3,0,0,0,0,256,2,4,8,380,5,1,3,21,2.25,7,5,2,-0.12,6,5.9,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0.2,4,31,4,7,0,17.6,0,-0.4,14,93,186,57,5,335,3,1,33.3,2,66.7,192,979,512,5,0,6,3,254,256,286,89.5,4582,1268,116,127,91.3,105,113,92.9,31,35,88.6,0.1,-0.2,5,15,5,0,0,1,0,1,2,4,0,0,0,26,2,6,25,9,2.13,8,0,0,1,0,0,0,0,0,0,0,0,0,0,13,9,1,3,1,2,50,1,7,4,3,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Konstantinos Mavropanos,DF,20,1.6,137,135,2,2,0,6,0,0,0,0,0,0,127,0,1,4,148,3,0,1,3,1.5,1,1,0,-0.61,2.9,2.4,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,3,9,0,2,0,15.1,0,-0.1,7,43,106,6,2,155,2,2,100,0,0,96,558,316,2,0,0,0,114,127,137,92.7,2442,576,44,47,93.6,61,65,93.8,16,17,94.1,0,-0.3,1,12,0,0,0,2,0,0,7,0,0,0,0,5,2,3,40,2,1.22,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,100,0,1,1,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Carl Jenkinson,DF,26,1.8,91,78,13,0,0,0,3,13,0,0,0,0,71,0,5,3,166,2,1,1,2,2,7,3,4,1.67,5.5,2,3.5,0,0,0,0,0,0,0,0,0,0,0,2,7,9,0,0,0,0,0,6,27,46,35,4,108,0,0,0,0,0,46,176,63,2,1,5,3,68,71,91,78,998,261,33,39,84.6,31,36,86.1,1,3,33.3,0.1,0,1,2,1,0,0,1,0,0,0,2,0,0,0,8,1,2,33.3,2,1.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,3,66.7,1,4,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Danny Welbeck,FW,27,1.7,54,53,1,0,0,0,0,0,0,0,0,0,40,0,2,8,153,1,0,7,2,2.5,6,3,3,1.24,2.6,3.3,-0.6,1,1,2,1,0,0,0,0,0.8,0.8,0.3,6,10,11,4,2,10.5,0,0.2,2,12,33,39,9,81,6,2,33.3,4,66.7,49,309,202,5,3,5,3,56,40,54,74.1,554,237,19,25,76,14,20,70,1,1,100,0.5,0.7,5,8,3,0,0,3,2,0,1,2,0,0,0,11,7,14,33.3,6,3.53,6,0,0,0,0,0,1,0.59,1,0,0,0,0,0,3,0,2,1,0,0,0,0,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Denis Suárez,MF,24,0.8,36,33,2,1,0,0,0,1,0,0,0,0,32,1,2,4,71,0,0,4,4,2.25,1,1,0,-0.59,0.1,2,-1.9,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,8,29,18,0,52,10,4,40,6,60,33,280,145,3,0,3,1,39,32,36,88.9,378,53,20,20,100,8,9,88.9,1,1,100,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Eddie Nketiah,MF,19,0.7,21,19,1,0,0,0,0,0,0,0,0,0,18,1,1,5,67,0,0,5,14,1.8,3,3,0,-0.59,1.9,2.7,-0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.1,3,1,7,3,1,13.4,0,0.8,0,1,11,17,5,29,4,2,50,2,50,20,122,67,1,2,2,3,24,18,21,85.7,230,48,9,9,100,8,8,100,0,1,0,0.3,-0.1,1,0,1,0,0,1,2,2,0,1,0,0,0,3,0,2,0,5,6.72,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
