Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Tkld,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,MedCmp,MedAtt,LongCmp,LongAtt,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,SCA,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,ChalLost,Blocks,BlSh,Pass,Clr,Err,GA,SoTA,Saves,W,D,L,CS,PKattA,PKA,PKsv,PKm,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,LPCmp,LPAtt,GKPAtt,Thr,PAvgLen,GKAtt,GKAvgLen,Opp,Stp,#OPA,AvgDist,Values
Marvelous Nakamba,MF,25,20.4,793,768,23,18,0,5,4,5,0,0,0,0,663,2,10,29,"1,836",19,10,10,5,0.93,24,37,-13,0.1,23.9,38.9,-15,0,0,0,0,0,0,5,0,0.2,0.2,0.5,10,57,8,7,1,29.6,0,-0.2,90,333,585,134,2,1042,19,14,5,478,2489,927,13,1,25,10,543,663,793,10776,2708,332,376,274,308,43,69,0.5,-0.5,12,48,4,0,0,26,24,0,39,28,0,0,0,155,22,28,23,22,1,0,0,0,0,1,1,0,0,0,0,0,28,20,7,24,67,43,50,11,39,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Conor Hourihane,MF,28,17,739,572,166,76,1,2,112,14,55,21,17,1,547,1,17,27,"1,534",18,4,9,10,1.04,20,29,-9,0.28,21.4,26.3,-4.9,3,5,8,3,0,0,4,0,1.7,1.7,6,9,75,57,29,10,21.4,6,1.3,40,125,403,341,27,863,7,4,3,365,1224,535,11,1,11,8,493,547,739,9334,3163,240,282,238,287,47,115,4.3,-1,38,52,16,4,0,14,21,4,9,10,1,0,0,72,12,8,62,29,27,0,3,3,0,7,3,4,0,0,0,0,4,8,4,10,25,15,19,4,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Kortney Hause,DF,24,17.2,825,785,36,14,1,8,0,22,0,0,0,0,607,4,11,18,"1,545",17,17,1,2,0.72,14,34,-20,-0.88,17.8,30.7,-12.9,1,0,1,1,0,0,3,0,2.5,2.5,0.5,8,46,4,20,3,8.3,0,-1.5,163,554,463,46,27,1058,13,9,4,520,3015,1655,4,0,13,7,559,607,825,11420,4829,248,303,275,323,77,163,0.3,-0.5,2,44,1,0,0,24,9,1,20,9,0,0,0,109,99,35,8,7,0,0,1,0,0,1,0,0,0,1,0,0,15,5,1,8,15,7,27,19,8,98,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5
Björn Engels,DF,24,16.1,653,627,24,22,0,6,2,2,0,0,0,0,548,2,2,17,"1,447",15,14,2,4,0.65,20,32,-12,-0.11,21.7,32.9,-11.2,1,0,1,1,0,0,1,0,1,0.9,0.3,5,43,2,8,1,7.8,0,0,151,473,317,30,14,819,1,1,0,426,2458,1586,4,1,7,2,482,548,653,11293,4152,170,191,301,334,74,118,0.2,-0.3,2,46,1,1,0,5,5,1,28,6,0,2,0,53,54,27,11,10,0,0,1,0,0,1,1,0,0,0,0,0,8,2,1,8,13,5,18,17,1,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Pepe Reina,GK,36,12,399,253,143,49,0,3,0,0,0,0,0,0,281,3,0,12,"1,080",12,12,0,4,1,11,20,-9,-0.1,12.1,19.8,-7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,370,426,7,0,0,433,0,0,0,195,1258,757,0,0,1,0,166,281,399,9063,7064,36,36,112,115,132,244,0,0,1,4,0,0,0,1,4,0,0,0,0,0,0,11,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,1,20,53,32,3,3,6,2,3,2,1,0,0,2,14.7,0.22,-5.3,95,202,302,51,37.2,94,42.6,168,8,14,16.1,0.65
Neil Taylor,DF,30,12.1,522,423,97,5,0,1,9,92,0,0,0,0,410,2,13,14,"1,091",11,10,3,13,0.79,11,25,-14,-0.69,12.2,20.2,-8,0,0,0,0,0,0,2,0,0.2,0.2,0.4,7,48,25,3,0,15.1,0,-0.2,59,231,292,114,5,634,2,2,0,252,991,547,5,0,5,2,327,410,522,5944,2497,230,249,153,193,13,39,0.2,-0.4,5,22,4,1,0,8,6,0,20,11,0,0,0,56,9,15,9,9,0,0,0,0,0,2,2,0,0,0,0,0,12,4,0,11,20,9,15,5,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
Ahmed Elmohamady,DF,31,11.5,657,550,104,6,0,2,58,98,0,0,0,0,496,3,13,18,"1,031",11,9,7,14,0.89,11,28,-17,-1.14,12.4,24.5,-12.1,1,1,2,1,0,0,1,0,0.2,0.2,2.8,39,47,37,5,1,11.1,0,0.8,49,211,331,216,14,753,11,7,4,386,1970,1263,30,4,9,2,438,496,657,8552,3169,246,268,182,251,57,104,2.1,-1.8,22,44,25,18,0,13,5,2,13,9,0,0,0,73,29,21,36,33,3,0,0,0,0,1,1,0,0,0,0,0,10,7,2,10,21,11,11,5,6,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mbwana Samatta,FW,26,10.5,176,174,2,0,0,0,3,1,0,0,0,0,119,0,6,14,943,11,5,3,0,0.71,7,18,-11,-0.5,11,16.2,-5.1,1,0,1,1,0,0,1,0,2.3,2.3,0.6,6,11,49,17,3,10.8,0,-1.3,7,13,124,137,33,270,15,9,6,137,657,154,4,1,26,12,195,119,176,1547,235,76,99,27,50,9,10,0.2,-0.6,10,8,2,0,0,9,18,8,1,4,0,0,0,24,40,72,17,11,0,1,1,3,1,0,0,0,0,0,0,0,0,3,3,1,8,7,7,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Ørjan Nyland,GK,28,6,182,108,73,20,0,1,0,0,0,0,0,0,105,1,0,7,539,5,5,2,20,0.71,4,12,-8,-0.77,6.7,8.1,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,162,187,4,0,0,191,0,0,0,91,680,445,0,0,1,0,70,105,182,3547,2893,8,9,52,55,45,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,27,15,0,2,3,1,0,0,0,0,0,0,8.5,0.31,-3.5,33,104,128,29,40,53,57.1,80,4,1,9.9,1.2
Keinan Davis,FW,21,6.1,139,136,3,0,0,0,2,1,0,0,0,0,101,0,3,18,548,4,0,14,3,0.83,6,7,-1,0.62,8.4,6.3,2.1,0,0,0,0,0,0,0,0,2.7,2.7,0.2,19,9,50,17,5,9.6,0,-2.7,4,11,91,120,30,217,20,14,6,148,864,400,11,7,26,11,172,101,139,1190,176,79,99,15,25,3,3,0.1,-0.2,5,7,2,0,0,12,11,3,0,1,0,0,0,15,27,46,18,9,0,1,4,4,0,3,1,0,0,1,1,0,0,1,0,0,3,3,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Henri Lansbury,MF,28,2.2,83,79,4,0,0,2,1,0,0,0,0,0,64,0,0,10,195,2,0,8,19,1,2,6,-4,-1.23,2.4,4.5,-2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,7,2,2,0,21,0,-0.1,3,25,58,27,4,109,0,0,,,161,48,1,0,7,0,60,64,83,1163,215,29,33,25,36,8,10,0.2,-0.1,2,7,0,0,0,4,1,0,0,2,0,0,0,10,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,8,6,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Borja Bastón,MF,26,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,18,0,0,2,3,0,0,2,-2,-9.37,0,1.3,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,3,1,8,0,0,,,9,9,1,0,1,0,4,4,6,75,25,2,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
