Player,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,PassOff,BlockedPass,MP,Min,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Sh,SoT,ShotDist,FKS,G-xG,PenToDef,ToDef3rd,ToMid3rd,ToAtt3rd,PenToAtt,ToLive,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,Pfin,CPA,Mis,Dis,Rec,TotCmp,TotAtt,TotCmp%,TotDistPass,PrgDistPass,ShrCmp,ShrAtt,ShrCmp%,MedCmp,MedAtt,CmpMed%,LongCmp,LongAtt,LongCmp%,xA,A-xAG,KP,Cfin,PPA,CrsPA,2CrdY,Fls,Fld,Off,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,SCA,SCA90,SCAPassLive,SCAPassDead,SCATO,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCATO,GCASh,GCAFld,GCADef,Tkl,TklDef3rd,TklMid3rd,TklAtt3rd,ChalTkl,ChalAtt,Tkl%,ChalLost,Blocks,BlSh,Pass,Tkl+Int,Clr,Err,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKattA,PKA,PKsv,PKm,PKSave%,FKGA,CKGA,PSxG,PSxG/SoT,PSxG+/-,xg/90,LPCmp,LPAtt,GKLCmp%,GKPAtt,Thr,Launch%,PAvgLen,GKAtt,PLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Value
Ainsley Maitland-Niles,DF,21,15.4,1025,839,185,19,2,4,18,166,0,0,0,0,841,1,11,20,"1,386",15,14,5,8,1.7,22,21,1,-0.24,19.3,22.7,-3.4,0,2,2,0,0,0,6,1,0.4,0.4,1.5,38,61,34,4,1,18,0,-0.4,71,442,536,233,15,1203,34,19,55.9,15,44.1,596,3219,1917,23,9,17,18,744,841,1025,82,12850,4193,446,502,88.8,311,370,84.1,53,95,55.8,1.4,0.5,11,44,13,5,1,15,13,0,28,23,0,0,0,86,17,12,58.6,21,1.36,17,1,1,0,0,2,3,0.19,2,0,0,0,0,1,41,34,5,2,22,43,51.2,21,12,3,9,69,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Shkodran Mustafi,DF,27,13.4,848,825,22,21,0,9,2,1,0,0,0,0,693,1,11,15,"1,207",13,12,2,3,1.4,21,17,4,0.14,16.1,20.3,-4.2,0,1,1,0,0,0,2,0,0.9,0.9,0.4,7,61,6,11,3,9.4,0,-0.9,112,471,491,30,15,988,3,3,100,0,0,629,3439,2160,4,0,4,1,680,693,848,81.7,14566,4890,172,212,81.1,424,469,90.4,94,144,65.3,0.1,0.6,3,48,1,1,0,14,3,0,18,10,0,0,0,42,65,21,75.6,3,0.22,2,0,0,1,0,0,1,0.07,0,0,0,1,0,0,17,11,5,1,6,12,50,6,10,6,4,35,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Héctor Bellerín,"DF,MF",24,12.9,711,583,126,14,0,3,27,112,0,0,0,0,575,2,30,15,"1,158",13,10,2,5,1.47,20,18,2,-0.08,15.5,20.4,-4.9,1,0,1,1,0,0,2,0,0.4,0.4,0.4,34,58,70,7,2,16.9,0,0.6,34,251,388,211,22,846,31,18,58.1,13,41.9,435,2426,1446,24,5,14,12,505,575,711,80.9,8755,2624,294,327,89.9,251,299,83.9,14,28,50,0.8,-0.4,3,39,7,2,0,15,3,1,19,13,0,0,0,54,13,16,44.8,16,1.24,14,0,1,1,0,0,0,0,0,0,0,0,0,0,20,7,11,2,11,29,37.9,18,20,4,16,39,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Calum Chambers,DF,24,12.2,915,818,95,12,0,6,34,83,0,0,0,0,732,2,16,14,"1,102",13,11,1,5,1.29,16,15,1,-0.19,15.2,11.9,3.3,1,1,2,1,0,0,5,0,0.8,0.8,1.6,16,45,67,12,2,12,0,0.2,116,467,406,199,27,1067,17,11,64.7,6,35.3,563,2500,1438,10,0,15,10,697,732,915,80,13541,4397,286,322,88.8,354,413,85.7,79,132,59.8,0.9,-0.6,7,46,6,2,0,18,4,0,16,10,0,1,0,69,36,30,54.5,17,1.39,10,2,0,4,0,1,2,0.16,0,0,0,1,0,1,26,12,8,6,11,16,68.8,5,13,7,6,42,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
Kieran Tierney,"DF,MF",22,11,571,478,90,7,0,2,44,83,0,0,0,0,426,3,11,15,989,12,6,3,4,1.47,18,16,2,-0.04,12.4,19,-6.6,1,1,2,1,0,0,2,0,0.2,0.2,1,26,34,67,6,2,20.6,0,0.8,40,227,261,196,14,676,15,12,80,3,20,355,1728,813,12,8,11,5,390,426,571,74.6,7168,2283,210,237,88.6,178,236,75.4,34,66,51.5,0.5,0,6,21,10,7,0,8,12,0,9,16,0,1,0,60,9,15,37.5,12,1.09,10,1,1,0,0,0,3,0.27,2,1,0,0,0,0,20,13,6,1,11,15,73.3,4,10,4,6,29,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Joe Willock,"MF,FW",19,9.5,359,346,8,0,2,5,9,2,5,0,0,0,287,5,7,29,857,8,1,21,6,1.34,16,16,0,-0.28,13.1,16.9,-3.8,1,1,2,1,0,0,2,0,1.6,1.6,1.1,39,41,51,15,4,16.7,0,-0.6,27,91,246,171,35,498,32,21,65.6,11,34.4,317,2210,1247,24,11,29,18,331,287,359,79.9,4611,1347,143,169,84.6,118,130,90.8,17,33,51.5,0.6,-0.1,12,34,8,2,0,10,13,0,4,16,0,0,0,62,8,14,36.4,31,3.25,25,0,3,1,1,1,3,0.31,3,0,0,0,0,0,25,9,12,4,8,21,38.1,13,16,2,14,29,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Emiliano Martínez,GK,26,8.6,293,214,79,18,0,0,0,0,0,0,0,0,212,0,1,9,771,8,8,1,29,1.78,16,9,7,0.78,10.5,12.6,-2.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,271,308,1,0,0,309,0,0,0,0,0,183,931,619,0,0,0,0,136,212,293,72.4,5094,3181,58,58,100,107,110,97.3,41,118,34.7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1.05,42,33,81,5,1,2,3,37.5,1,1,0,0,0,0,3,11.8,0.26,2.8,0.32,28,98,28.6,232,48,29.3,31.4,61,49.2,40.2,138,8,5.8,4,0.47,13.2,8
Eddie Nketiah,FW,20,7,141,128,13,1,2,0,1,0,0,0,0,0,105,0,2,13,633,7,2,6,1,1.85,8,8,0,-0.26,7.3,11.5,-4.2,2,0,2,2,0,0,0,1,3.1,3.1,0.6,19,16,38,15,5,12.2,0,-1.1,8,23,110,88,29,218,17,10,58.8,7,41.2,153,866,396,5,5,21,15,169,105,141,74.5,1441,247,59,72,81.9,38,49,77.6,3,5,60,0.1,-0.6,5,6,3,0,0,16,10,3,2,5,0,0,0,15,7,8,46.7,12,1.71,6,0,2,1,2,1,1,0.14,0,0,0,0,0,1,7,3,4,0,2,6,33.3,4,9,0,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Reiss Nelson,FW,19,7,232,214,18,3,0,1,24,1,14,6,5,0,186,0,7,17,631,7,1,10,10,1.71,9,7,2,0.09,7.6,10.6,-3.1,1,0,1,1,0,0,1,0,0.9,0.9,0.4,30,20,58,11,4,17.4,0,0.1,4,44,135,149,26,318,32,17,53.1,15,46.9,210,1479,739,16,10,15,13,234,186,232,80.2,2759,727,107,118,90.7,55,65,84.6,14,24,58.3,0.8,-0.4,9,9,8,1,0,8,8,4,3,8,0,0,0,30,0,5,0,20,2.85,11,4,2,3,0,0,1,0.14,0,0,0,1,0,0,11,5,4,2,7,17,41.2,10,13,2,11,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
Gabriel Martinelli,FW,18,7.4,140,137,2,1,1,1,22,1,0,0,0,0,82,1,8,14,663,6,5,8,10,1.21,7,9,-2,-0.6,8.4,11.2,-2.8,3,0,3,3,0,0,1,0,2.2,2.2,0.1,31,12,65,12,5,12.9,0,0.8,11,61,88,132,36,273,32,9,28.1,23,71.9,168,1409,770,15,13,29,12,181,82,140,58.6,1073,283,54,79,68.4,20,37,54.1,4,7,57.1,0.2,-0.1,2,3,5,0,0,9,10,2,3,15,0,0,0,34,7,35,16.7,8,1.09,5,0,0,1,1,1,0,0,0,0,0,0,0,0,20,10,6,4,7,20,35,13,15,1,14,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Rob Holding,DF,23,6.5,354,343,9,8,0,6,0,1,0,0,0,0,307,2,1,8,581,6,5,2,10,1.63,11,9,2,0.12,8,10.2,-2.3,0,0,0,0,0,0,1,0,0.2,0.2,0,3,16,1,2,0,0,0,-0.2,73,242,189,10,6,440,4,2,50,2,50,292,1320,707,2,0,4,2,310,307,354,86.7,6164,2025,95,104,91.3,174,185,94.1,37,60,61.7,0.1,0,0,13,2,0,0,4,3,0,5,2,0,0,0,22,16,14,53.3,2,0.31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,3,33.3,2,10,6,4,9,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5
Pablo Marí,DF,25,1.3,100,99,1,1,0,1,0,0,0,0,0,0,85,0,0,2,113,2,1,0,0,1.5,1,0,1,0.61,1.3,1.6,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,19,53,59,2,0,114,0,0,0,0,0,70,476,294,0,0,0,0,83,85,100,85,1705,493,29,31,93.5,42,44,95.5,14,22,63.6,0,0,0,6,0,0,0,2,0,0,1,1,0,0,0,9,4,2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
